iter	Passed	Remaining
639	67028	247169
640	67133	247063
641	67238	246961
642	67343	246855
643	67448	246754
644	67553	246647
645	67657	246542
646	67762	246436
647	67867	246334
648	67972	246229
649	68077	246125
650	68182	246023
651	68287	245917
652	68391	245811
653	68497	245711
654	68600	245600
655	68704	245494
656	68808	245384
657	68912	245278
658	69016	245169
659	69120	245064
660	69229	244974
661	69332	244862
662	69438	244762
663	69542	244655
664	69648	244554
665	69753	244452
666	69861	244358
667	69966	244255
668	70072	244153
669	70176	244045
670	70295	243989
671	70398	243881
672	70503	243778
673	70607	243670
674	70712	243566
675	70818	243464
676	70924	243363
677	71028	243256
678	71132	243151
679	71237	243046
680	71344	242947
681	71447	242836
682	71551	242729
683	71655	242623
684	71760	242517
685	71865	242415
686	71968	242305
687	72073	242201
688	72178	242095
689	72284	241994
690	72388	241887
691	72492	241781
692	72597	241677
693	72702	241572
694	72806	241466
695	72911	241362
696	73016	241257
697	73121	241155
698	73226	241051
699	73331	240945
700	73433	240834
701	73539	240730
702	73642	240620
703	73748	240519
704	73850	240407
705	73954	240300
706	74058	240193
707	74162	240086
708	74267	239980
709	74371	239873
710	74473	239761
711	74578	239656
712	74683	239551
713	74789	239451
714	74892	239341
715	74995	239232
716	75099	239123
717	75203	239016
718	75307	238909
719	75413	238810
720	75521	238713
721	75627	238614
722	75731	238506
723	75836	238403
724	75940	238297
725	76046	238194
726	76150	238087
727	76255	237983
728	76358	237873
729	76462	237767
730	76566	237660
731	76671	237555
732	76775	237448
733	76879	237343
734	76983	237235
735	77088	237131
736	77193	237026
737	77299	236925
738	77402	236817
739	77507	236713
740	77616	236620
741	77722	236518
742	77825	236410
743	77929	236302
744	78034	236197
745	78140	236096
746	78243	235986
747	78348	235884
748	78453	235780
749	78559	235679
750	78663	235570
751	78769	235471
752	78874	235365
753	78979	235261
754	79083	235154
755	79186	235046
756	79290	234937
757	79394	234832
758	79499	234727
759	79604	234623
760	79708	234517
761	79813	234413
762	79918	234310
763	80027	234215
764	80130	234106
765	80235	234002
766	80340	233898
767	80445	233794
768	80548	233684
769	80654	233582
770	80757	233474
771	80860	233365
772	80966	233262
773	81071	233157
774	81177	233056
775	81281	232950
776	81386	232847
777	81490	232739
778	81594	232634
779	81698	232525
780	81802	232420
781	81907	232315
782	82012	232212
783	82116	232104
784	82221	232000
785	82325	231893
786	82429	231786
787	82533	231679
788	82638	231577
789	82741	231467
790	82848	231368
791	82953	231264
792	83059	231162
793	83162	231052
794	83266	230946
795	83371	230842
796	83476	230738
797	83580	230630
798	83684	230524
799	83788	230418
800	83893	230315
801	83997	230207
802	84102	230102
803	84207	229998
804	84312	229896
805	84417	229792
806	84522	229688
807	84627	229582
808	84732	229478
809	84834	229367
810	84939	229263
811	85042	229154
812	85148	229053
813	85253	228947
814	85357	228842
815	85461	228733
816	85568	228636
817	85672	228530
818	85777	228426
819	85882	228320
820	85989	228222
821	86092	228113
822	86196	228007
823	86299	227898
824	86404	227794
