iter	Passed	Remaining
787	10794	2904
788	10808	2890
789	10821	2876
790	10834	2862
791	10848	2848
792	10861	2835
793	10874	2821
794	10887	2807
795	10902	2794
796	10915	2780
797	10928	2766
798	10942	2752
799	10955	2738
800	10968	2724
801	10982	2711
802	10996	2697
803	11009	2683
804	11022	2670
805	11036	2656
806	11050	2642
807	11063	2628
808	11076	2615
809	11088	2601
810	11101	2587
811	11114	2573
812	11126	2559
813	11139	2545
814	11153	2531
815	11168	2518
816	11182	2504
817	11197	2491
818	11211	2477
819	11223	2463
820	11236	2449
821	11250	2436
822	11264	2422
823	11277	2408
824	11290	2395
825	11303	2381
826	11316	2367
827	11328	2353
828	11340	2339
829	11353	2325
830	11367	2311
831	11380	2298
832	11395	2284
833	11409	2271
834	11423	2257
835	11436	2243
836	11449	2229
837	11462	2215
838	11475	2202
839	11488	2188
840	11501	2174
841	11514	2160
842	11527	2146
843	11540	2133
844	11553	2119
845	11565	2105
846	11580	2091
847	11594	2078
848	11607	2064
849	11619	2050
850	11632	2036
851	11646	2023
852	11659	2009
853	11672	1995
854	11685	1981
855	11697	1967
856	11710	1953
857	11724	1940
858	11738	1926
859	11751	1913
860	11766	1899
861	11779	1885
862	11792	1872
863	11805	1858
864	11818	1844
865	11831	1830
866	11844	1817
867	11857	1803
868	11871	1789
869	11884	1775
870	11898	1762
871	11912	1748
872	11926	1734
873	11938	1721
874	11952	1707
875	11965	1693
876	11978	1679
877	11991	1666
878	12004	1652
879	12017	1638
880	12030	1625
881	12044	1611
882	12056	1597
883	12070	1583
884	12083	1570
885	12096	1556
886	12111	1542
887	12125	1529
888	12139	1515
889	12152	1501
890	12164	1488
891	12177	1474
892	12190	1460
893	12204	1447
894	12217	1433
895	12230	1419
896	12243	1405
897	12256	1392
898	12269	1378
899	12282	1364
900	12296	1351
901	12310	1337
902	12324	1323
903	12338	1310
904	12351	1296
905	12364	1282
906	12378	1269
907	12391	1255
908	12404	1241
909	12416	1228
910	12429	1214
911	12443	1200
912	12456	1186
913	12468	1173
914	12481	1159
915	12496	1145
916	12511	1132
917	12525	1118
918	12538	1105
919	12552	1091
920	12564	1077
921	12578	1064
922	12590	1050
923	12603	1036
924	12615	1022
925	12628	1009
926	12642	995
927	12656	981
928	12668	968
929	12681	954
930	12694	940
931	12707	927
932	12720	913
933	12732	899
934	12746	886
935	12760	872
936	12774	858
937	12787	845
938	12800	831
939	12813	817
940	12826	804
941	12840	790
942	12852	776
943	12865	763
944	12879	749
945	12892	735
946	12907	722
947	12918	708
948	12932	694
949	12944	681
950	12956	667
951	12969	653
952	12984	640
953	12997	626
954	13010	613
955	13024	599
956	13037	585
957	13050	572
958	13063	558
959	13077	544
960	13089	531
